uen,Company Name,primary_ssic_code,secondary_ssic_code,primary_ssic_description,secondary_ssic_description,finaladdress,entity_status_description,uen_issue_date,registration_incorporation_date,entity_type_description,ACRA Update Date
T10LL0539K,OPTIMAX VISION LLP,47751,na,RETAIL SALE OF SPECTACLES AND OTHER OPTICAL GOODS,na,303 WOODLANDS STREET 31  #01-197 Singapore 730303 ,Live,2010-04-01,2010-04-01,LLP,2022-08-25
201527694W,ORBITAL ATK PTE. LTD.,70201,na,MANAGEMENT CONSULTANCY SERVICES (GENERAL),na,3 TEMASEK AVENUE CENTENNIAL TOWER #27-03A Singapore 039190 ,Live Company,2015-07-02,2015-07-01,Local Company,2022-08-25
201014262N,ORICLE MATERIAL RESOURCE PTE. LTD.,46900,na,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,na,2 TAO CHING ROAD LAKE LIFE #05-02 Singapore 618721 ,Live Company,2010-07-07,2010-07-06,Local Company,2022-08-25
201317016E,ORIENTIVITY PTE. LTD.,59140,82303,MOTION PICTURE PROJECTION ACTIVITIES (INCLUDING CINEMAS),EVENT/CONCERT ORGANISERS,61 BRIGHT HILL DRIVE BISHAN POINT #13-04 Singapore 579653 ,Live Company,2013-06-25,2013-06-24,Local Company,2022-08-25
53411952B,ORION MARKETING AND TRADING,26129,na,MANUFACTURE OF OTHER ELECTRONIC COMPONENTS AND BOARDS N.E.C.,na,337A TAH CHING ROAD  #12-39 Singapore 611337 ,Cancelled (Non-Renewal),2020-04-09,2020-04-09,Business,2022-08-25
201405069N,ORTEGA GROUP PRIVATE LIMITED,70201,70204,MANAGEMENT CONSULTANCY SERVICES (GENERAL),HUMAN RESOURCE CONSULTANCY SERVICES,7 WOODLANDS DRIVE 72 WOODSVALE #09-13 Singapore 738092 ,Live Company,2014-02-25,2014-02-24,Local Company,2022-08-25
200912045G,OSLO CARIBBEAN CARRIER PTE. LTD.,52227,50024,SHIP BROKERING SERVICES,"CHARTERING OF SHIPS, BARGES AND BOATS WITH CREW (FREIGHT)",531 UPPER CROSS STREET HONG LIM COMPLEX #03-15 Singapore 050531 ,Live Company,2009-07-04,2009-07-03,Local Company,2022-08-25
201824963N,OUS GROUP PTE. LTD.,62019,62021,DEVELOPMENT OF OTHER SOFTWARE AND PROGRAMMING ACTIVITIES N.E.C.,INFORMATION TECHNOLOGY CONSULTANCY (EXCEPT CYBERSECURITY),69 UBI ROAD 1 OXLEY BIZHUB #08-25 Singapore 408731 ,Live Company,2018-07-22,2018-07-22,Local Company,2022-08-25
202020639H,OWLPAY HOLDINGS PTE. LTD.,58202,62021,PUBLISHING OF OTHER SOFTWARE/APPLICATIONS (NON-GAMES),INFORMATION TECHNOLOGY CONSULTANCY (EXCEPT CYBERSECURITY),2 PEREIRA ROAD 2CONNECTT@TS #04-01/S9 Singapore 368024 ,Live Company,2020-07-17,2020-07-17,Local Company,2022-08-25
200512605H,P & N INTERNATIONAL PTE. LTD.,46433,46900,WHOLESALE OF LIGHTING AND LIGHTING ACCESSORIES,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,205 BALESTIER ROAD THE MEZZO #02-06 Singapore 329682 ,Live Company,2008-09-13,2005-09-09,Local Company,2022-08-25
198303866R,PAN DELTA CONTROLS PTE LTD,26129,43210,MANUFACTURE OF OTHER ELECTRONIC COMPONENTS AND BOARDS N.E.C.,ELECTRICAL WORKS,10 ADMIRALTY STREET NORTH LINK BUILDING #04-76 Singapore 757695 ,Live Company,2008-09-09,1983-08-13,Local Company,2022-08-25
199607190H,PANASONIC INSURANCE AGENCY SERVICES SINGAPORE PTE. LTD.,65124,na,"GENERAL INSURANCE (EXCEPT MARINE AND IMPORT, EXPORT & CREDIT INSURANCE)-",na,112 ROBINSON ROAD ROBINSON 112 #05-01 Singapore 068902 ,Live Company,2008-09-10,1996-10-05,Local Company,2022-08-25
199604421E,PENTAIR WATER ASIA PACIFIC PTE. LTD.,70209,na,MANAGEMENT CONSULTANCY SERVICES N.E.C.,na,390 HAVELOCK ROAD KING'S CENTRE #04-01 Singapore 169662 ,Live Company,2008-09-10,1996-06-18,Local Company,2022-08-25
53319391E,PEOPLE WONDERS,70201,na,MANAGEMENT CONSULTANCY SERVICES,na,178 SPRINGLEAF AVENUE DALLA VALE  Singapore 786341 ,Cancellation In Progress,2015-10-15,2015-10-14,Business,2022-08-25
202024137Z,PETWORKS MANAGEMENT PTE. LTD.,70201,na,MANAGEMENT CONSULTANCY SERVICES (GENERAL),na,121A CANBERRA STREET EASTBANK @ CANBERRA #05-709 Singapore 751121 ,Live Company,2020-08-14,2020-08-14,Local Company,2022-08-25
201705009H,PIGO TECHNOLOGY PTE. LTD.,46900,64202,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,OTHER HOLDING COMPANIES,10 ANSON ROAD INTERNATIONAL PLAZA #11-07 Singapore 079903 ,Live Company,2017-02-23,2017-02-23,Local Company,2022-08-25
201720957R,PLAYHOOD PTE. LTD.,74193,47711,FASHION (INCLUDING ACCESSORIES) DESIGN SERVICES,RETAIL SALE OF CLOTHING FOR ADULTS,1003 BUKIT MERAH CENTRAL  #07-44 Singapore 159836 ,Live Company,2017-07-26,2017-07-26,Local Company,2022-08-25
201701108G,PLAYSCALE PTE. LTD.,62011,62021,DEVELOPMENT OF SOFTWARE AND APPLICATIONS (EXCEPT GAMES AND CYBERSECURITY),INFORMATION TECHNOLOGY CONSULTANCY (EXCEPT CYBERSECURITY),30 CECIL STREET PRUDENTIAL TOWER #19-08 Singapore 049712 ,Live Company,2017-01-11,2017-01-11,Local Company,2022-08-25
201540462K,POSEIDON MARITIME SERVICES PTE. LTD.,52226,50014,SHIP MANAGEMENT SERVICES,CHARTERING OF SHIPS AND BOATS WITH CREW (PASSENGER),52 KING'S DRIVE KINGSVILLE  Singapore 266419 ,Live Company,2015-11-14,2015-11-13,Local Company,2022-08-25
53395324C,POWER UP SINGAPORE,46900,46610,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,WHOLESALE OF FUELS AND RELATED PRODUCTS,3 SANDOWN PLACE SERANGOON GARDEN ESTATE  Singapore 556166 ,Live,2019-03-19,2019-03-19,Business,2022-08-25
200812825N,PRECISE ENGINEERING (2008) PTE. LTD.,28224,25997,"MANUFACTURE OF MACHINE TOOL ACCESSORIES (EG SMALL CUTTING TOOLS, PRECISION MEASURING TOOLS AND OTHER ATTACHMENTS SUCH AS TOOL HOLDERS)",MANUFACTURE OF METAL PRECISION COMPONENTS,1 JOO KOON CRESCENT  #01-11 Singapore 629027 ,Live Company,2008-09-13,2008-07-01,Local Company,2022-08-25
201012418M,PRECISE TECH ENGINEERING PTE. LTD.,28223,28300,"MANUFACTURE OF DIES, MOULDS, TOOLS, JIGS AND FIXTURES","INSTALLATION OF INDUSTRIAL MACHINERY AND EQUIPMENT, MECHANICAL ENGINEERING WORKS",2 WOODLANDS SECTOR 1 WOODLANDS SPECTRUM #01-15 Singapore 738068 ,Live Company,2010-06-11,2010-06-10,Local Company,2022-08-25
53351196L,PRETTY WILD,47743,na,RETAIL SALE OF CUT FLOWERS (INCLUDING WREATHS),na,80F LORONG MELAYU   Singapore 416993 ,Live,2016-11-29,2016-11-29,Business,2022-08-25
52954590W,PRIME MANAGEMENT SERVICES,70201,68201,MANAGEMENT CONSULTANCY SERVICES (GENERAL),REAL ESTATE AGENCIES AND VALUATION SERVICES,1 JALAN PARAS   Singapore 418853 ,Live,2008-09-12,2001-10-11,Business,2022-08-25
201118061D,PRIVACY SOLUTION PTE. LTD.,46900,42101,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,GENERAL CONTRACTORS (NON-BUILDING CONSTRUCTION),100 PECK SEAH STREET PS100 #08-14 Singapore 079333 ,Live Company,2011-07-29,2011-07-28,Local Company,2022-08-25
201207317W,PUBLIC GOLD MARKETING PTE. LTD.,46900,na,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,na,824 TAMPINES STREET 81 TAMPINES GROVE #01-20 Singapore 520824 ,Live Company,2012-03-24,2012-03-23,Local Company,2022-08-25
201505644E,PURE SKY LIGHTING PTE. LTD.,46900,na,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,na,10 KAKI BUKIT ROAD 1 KB INDUSTRIAL BUILDING #01-39 Singapore 416175 ,Struck Off,2015-03-06,2015-03-03,Local Company,2022-08-25
201729876D,QIAN YE PTE. LTD.,53100,na,NATIONAL POST ACTIVITIES (EG POSTAL SERVICES),na,160 ROBINSON ROAD  #26-04 Singapore 068914 ,Live Company,2017-10-18,2017-10-18,Local Company,2022-08-25
201840006K,QOO MEDIA PTE. LTD.,73100,47711,ADVERTISING ACTIVITIES,RETAIL SALE OF CLOTHING FOR ADULTS,8 EU TONG SEN STREET THE CENTRAL #12-88 Singapore 059818 ,Live Company,2018-11-26,2018-11-26,Local Company,2022-08-25
201840006K,19 POWERFUL INTERNATIONAL PTE. LTD.,62019,47910,DEVELOPMENT OF OTHER SOFTWARE AND PROGRAMMING ACTIVITIES N.E.C.,RETAIL SALE VIA INTERNET (WITH INCOME MAINLY FROM ONLINE SALES),6 EU TONG SEN STREET THE CENTRAL #05-09 Singapore 059817 ,Live Company,2018-11-26,2018-11-26,Local Company,2022-08-25
201804296G,RED BIKE HRD PTE. LTD.,70204,85409,HUMAN RESOURCE CONSULTANCY SERVICES,TRAINING COURSES N.E.C.,101 CECIL STREET TONG ENG BUILDING #17-09 Singapore 069533 ,Live Company,2018-02-02,2018-02-02,Local Company,2022-08-25
201614890Z,RED GUAVA PTE. LTD.,63120,26302,INTERNET SEARCH ENGINES,"MANUFACTURE OF NETWORKING PRODUCTS (EG ROUTERS, SWITCHES)",1004 TOA PAYOH INDUSTRIAL PARK TOA PAYOH INDUSTRIAL PARK #02-1485 Singapore 319076 ,Live Company,2016-06-01,2016-06-01,Local Company,2022-08-25
200911004H,REGOPZ PTE. LTD.,62011,62090,DEVELOPMENT OF SOFTWARE AND APPLICATIONS (EXCEPT GAMES AND CYBERSECURITY),OTHER INFORMATION TECHNOLOGY AND COMPUTER SERVICE ACTIVITIES (EG DISASTER RECOVERY SERVICES),1 ALEXANDRA VIEW ASCENTIA SKY #34-04 Singapore 158748 ,Struck Off,2009-06-19,2009-06-18,Local Company,2022-08-25
53127077K,REJOICE LAND,47711,96021,RETAIL SALE OF CLOTHING FOR ADULTS,HAIRDRESSING SALONS/SHOPS (INCLUDING BARBER SHOPS),150 ORCHARD ROAD ORCHARD PLAZA #03-75 Singapore 238841 ,Live,2008-12-16,2008-10-08,Business,2022-08-25
201908267H,REMPAHS PTE. LTD.,46303,56111,"WHOLESALE OF A GENERAL LINE (WIDE RANGE) OF GROCERIES (E.G. CEREALS, SUGAR, EDIBLE OILS, SAUCES AND DAIRY PRODUCTS)",RESTAURANTS,31 MANDAI ESTATE INNOVATION PLACE #03-08 Singapore 729933 ,Live Company,2019-03-14,2019-03-14,Local Company,2022-08-25
53422663M,RETNO MUNINGGAR,70206,na,"PORT, SHIPPING AND MARITIME-RELATED CONSULTANCY SERVICES",na,21 BALMORAL ROAD VENTUNO BALMORAL #07-02 Singapore 259805 ,Live,2020-10-19,2020-10-19,Business,2022-08-25
42367100J,RETREAD CYCLE TRADING,46900,77330,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,RENTING OF CONSTRUCTION AND CIVIL ENGINEERING MACHINERY AND EQUIPMENT,13B NALLUR ROAD   Singapore 456617 ,Live,2008-09-10,1990-02-28,Business,2022-08-25
201213354H,RIAPROP (S) PRIVATE LIMITED,46900,64202,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,OTHER HOLDING COMPANIES,1 BROOKE ROAD KATONG PLAZA #03-04 Singapore 429979 ,Live Company,2012-05-30,2012-05-29,Local Company,2022-08-25
53308313C,ROTI KEK,47213,na,RETAIL SALE OF CONFECTIONERY AND BAKERY PRODUCTS (NOT MANUFACTURED ON SITE),na,604 SEMBAWANG ROAD SEMBAWANG SHOPPING CENTRE #B1-10/11 Singapore 758459 ,Live,2015-06-12,2015-06-11,Business,2022-08-25
201940573D,S CURVE KINETIC PTE. LTD.,63909,62021,OTHER INFORMATION SERVICE ACTIVITIES N.E.C.,INFORMATION TECHNOLOGY CONSULTANCY (EXCEPT CYBERSECURITY),7500A BEACH ROAD THE PLAZA #12-323 Singapore 199591 ,Live Company,2019-12-01,2019-12-01,Local Company,2022-08-25
201813955H,SANS GENERAL RESOURCES PTE. LTD.,42101,47411,GENERAL CONTRACTORS (NON-BUILDING CONSTRUCTION),RETAIL SALE OF HANDPHONES,73 UBI ROAD 1 OXLEY BIZHUB #09-52 Singapore 408733 ,Struck Off,2018-04-24,2018-04-24,Local Company,2022-08-25
198203090H,SATV VISION PTE. LTD.,77220,81211,RENTING OF VCDS AND DVDS,"GENERAL CLEANING SERVICES (INCLUDING CLEANING OF PUBLIC AREAS, OFFICES AND FACTORIES) EXCEPT HOUSEHOLD CLEANING",18 KAKI BUKIT ROAD 3 ENTREPRENEUR BUSINESS CENTRE #03-15 Singapore 415978 ,Struck Off,2008-09-09,1982-07-20,Local Company,2022-08-25
198004476R,SCORPIUS SECURITY & INVESTIGATION SERVICES PTE LTD,80200,80100,DETECTIVE AND INVESTIGATION ACTIVITIES,PRIVATE SECURITY ACTIVITIES,170 UPPER BUKIT TIMAH ROAD BUKIT TIMAH SHOPPING CENTRE #04-06 Singapore 588179 ,Live Company,2008-09-09,1980-12-02,Local Company,2022-08-25
43176400W,SEAH STREET DELI,56111,na,RESTAURANTS,na,1 BEACH ROAD RAFFLES HOTEL  Singapore 189673 ,Cancelled (Non-Renewal),2008-09-10,1990-08-03,Business,2022-08-25
45946300D,SENG SOON RENOVATION CONTRACTORS,43301,na,RENOVATION CONTRACTORS,na,146 WESTWOOD CRESCENT WESTVILLE  Singapore 648513 ,Live,2008-09-10,1992-02-10,Business,2022-08-25
201203276D,SH MATERIAL PTE. LTD.,46900,70201,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,MANAGEMENT CONSULTANCY SERVICES (GENERAL),111 SOMERSET ROAD 111 SOMERSET #06-07S Singapore 238164 ,Live Company,2012-02-11,2012-02-10,Local Company,2022-08-25
200815056R,SHAN XI LIANG PI F&B PTE. LTD.,56111,56112,RESTAURANTS,CAFES AND COFFEE HOUSES,152 BEACH ROAD GATEWAY EAST #14-03 Singapore 189721 ,Live Company,2008-09-13,2008-07-31,Local Company,2022-08-25
200720533D,SHIV-VANI SINGAPORE PTE. LIMITED,71126,09002,"ENGINEERING DESIGN AND CONSULTANCY SERVICES SUPPORTING MINING, OIL AND GAS EXTRACTION AND OFFSHORE EXPLORATION ACTIVITIES  ","SERVICE ACTIVITIES INCIDENTAL TO OIL AND GAS EXTRACTION (EXCL. SURVEYING AND ENGINEERING DESIGN AND CONSULTANCY SERVICES SUPPORTING MINING, OIL AND GAS EXTRACTION AND OFFSHORE EXPLORATION ACTIVITIES)",101 CECIL STREET TONG ENG BUILDING #20-11 Singapore 069533 ,Live Company,2008-09-13,2007-11-05,Local Company,2022-08-25
53349365W,SHWON,46900,na,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,na,297A CHOA CHU KANG AVENUE 2  #06-120 Singapore 681297 ,Live,2016-11-01,2016-11-01,Business,2022-08-25
201309200K,SIAH SUPPLIES & SERVICES PTE. LTD.,41001,46631,GENERAL CONTRACTORS (BUILDING CONSTRUCTION INCLUDING MAJOR UPGRADING WORKS),"WHOLESALE OF LOGS, SAWN TIMBER, PLYWOOD AND RELATED PRODUCTS",173 WOODLANDS STREET 13  #04-423 Singapore 730173 ,Live Company,2013-04-08,2013-04-07,Local Company,2022-08-25
26110300L,SIN YEW TAT TRADING CO,31001,na,MANUFACTURE OF FURNITURE AND FIXTURES OF WOOD (INCLUDING UPHOLSTERY),na,164 BUKIT BATOK STREET 11  #01-142 Singapore 650164 ,Live,2008-09-09,1979-12-28,Business,2022-08-25
53058885D,SIN-JONG TRADITIONAL MEDICAL & ACUPUNCTURE,86202,47723,CLINICS AND OTHER GENERAL MEDICAL SERVICES (NON-WESTERN),CHINESE MEDICINE SHOPS,810 GEYLANG ROAD CITY PLAZA #02-12 Singapore 409286 ,Live,2008-09-13,2005-12-21,Business,2022-08-25
T16LL1963A,SINGAPORE BRANDED FOODS LLP,46900,na,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,na,1 SOON LEE STREET PIONEER CENTRE #06-35 Singapore 627605 ,Struck Off,2016-10-17,2016-10-17,LLP,2022-08-25
202035045K,SINGAPORE SAILING TECHNOLOGY PTE. LTD.,62090,46900,OTHER INFORMATION TECHNOLOGY AND COMPUTER SERVICE ACTIVITIES (EG DISASTER RECOVERY SERVICES),WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,195 PEARL'S HILL TERRACE  #01-05 Singapore 168976 ,Live Company,2020-11-02,2020-11-02,Local Company,2022-08-25
200403397R,SINOHEALTH HOLDING PTE. LTD.,46461,46900,WHOLESALE OF MEDICINAL AND PHARMACEUTICAL PRODUCTS (WESTERN),WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,3 RAFFLES PLACE BHARAT BUILDING #06-01 Singapore 048617 ,Live Company,2008-09-12,2004-03-23,Local Company,2022-08-25
53216862C,SOCIALGREEN,70201,71112,MANAGEMENT CONSULTANCY SERVICES (GENERAL),LANDSCAPE DESIGN AND LANDSCAPE ARCHITECTURE,70 MARINE PARADE ROAD COTE D'AZUR #08-27 Singapore 449302 ,Live,2012-06-16,2012-06-15,Business,2022-08-25
48073000L,SOON PING TRADING,47539,na,"RETAIL SALE OF ELECTRICAL HOUSEHOLD APPLIANCES, FURNITURE, LIGHTING EQUIPMENT AND OTHER HOUSEHOLD ARTICLES N.E.C.",na,3007 UBI ROAD 1 KAMPONG UBI INDUSTRIAL ESTATE #02-402 Singapore 408701 ,Live,2008-09-10,1993-02-25,Business,2022-08-25
38415300C,SOURCE-TECH MARKETING AND SERVICES,46592,43210,"WHOLESALE OF MEDICAL, PROFESSIONAL, SCIENTIFIC AND PRECISION EQUIPMENT",ELECTRICAL WORKS,177 BUKIT BATOK WEST AVENUE 8  #04-259 Singapore 650177 ,Live,2008-09-10,1987-11-02,Business,2022-08-25
201942569H,SOWL COFFEE PTE. LTD.,56112,na,CAFES AND COFFEE HOUSES,na,6 WOODLANDS SQUARE WOODS SQUARE #01-05 Singapore 737737 ,Live Company,2019-12-17,2019-12-17,Local Company,2022-08-25
201933457W,SRAM & MRAM TECHNOLOGIES PTE. LTD.,62011,na,DEVELOPMENT OF SOFTWARE AND APPLICATIONS (EXCEPT GAMES AND CYBERSECURITY),na,2 VENTURE DRIVE VISION EXCHANGE #13-30 Singapore 608526 ,Live Company,2019-10-05,2019-10-05,Local Company,2022-08-25
201941906C,ST CONSULTING PTE. LTD.,70201,na,MANAGEMENT CONSULTANCY SERVICES (GENERAL),na,175 BISHAN STREET 13  #02-149 Singapore 570175 ,Live Company,2019-12-11,2019-12-11,Local Company,2022-08-25
200617342H,STAR ROSE PTE. LTD.,47101,46521,SUPERMARKETS AND HYPERMARKETS,WHOLESALE OF TELECOMMUNICATIONS EQUIPMENT (EXCLUDING HANDPHONES),12 BELILIOS LANE   Singapore 219957 ,Live Company,2008-09-13,2006-11-21,Local Company,2022-08-25
202036619Z,STARHOPE AUTOPARTS PTE. LTD.,46900,na,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,na,462 CRAWFORD LANE  #02-33 Singapore 190462 ,Live Company,2020-11-12,2020-11-12,Local Company,2022-08-25
52952392B,STATE OF THE ART INNOVATION,46900,46499,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,WHOLESALE OF OTHER HOUSEHOLD GOODS N.E.C.,14 ARUMUGAM ROAD TECK CHIANG REALTY BUILDING #07-02 Singapore 409959 ,Ceased Registration,2008-09-12,2001-09-11,Business,2022-08-25
201906002R,STEELA INTERNATIONAL PTE. LTD.,46900,46514,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,"WHOLESALE OF CYBERSECURITY SOFTWARE, HARDWARE AND PERIPHERAL EQUIPMENT",10 ANSON ROAD INTERNATIONAL PLAZA #10-11 Singapore 079903 ,Live Company,2019-02-25,2019-02-25,Local Company,2022-08-25
201222168W,SULLAIR ASIA PTE. LTD.,28129,na,"MANUFACTURE AND REPAIR OF PUMPS, COMPRESSORS, TAPS AND VALVES N.E.C.",na,30 PIONEER CRESCENT WEST PARK BIZCENTRAL #10-15 Singapore 628560 ,Live Company,2012-09-08,2012-09-07,Local Company,2022-08-25
199307242K,SUMMER VIEW HOTEL PTE LTD,55101,79102,HOTELS WITH RESTAURANT,TRAVEL AGENCIES AND TOUR OPERATORS (MAINLY OUTBOUND),173 BENCOOLEN STREET SUMMER VIEW HOTEL #01-173 Singapore 189642 ,Live Company,2008-09-10,1993-11-02,Local Company,2022-08-25
200607882N,SUN (IMPORT/EXPORT) PTE. LTD.,46900,na,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,na,63 HILLVIEW AVENUE LAM SOON INDUSTRIAL BUILDING #10-08 Singapore 669569 ,Struck Off,2008-09-13,2006-06-01,Local Company,2022-08-25
201302150E,SUVIN TECH PTE. LTD.,46900,na,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,na,29 MAYO STREET  #03-03 Singapore 208315 ,Struck Off,2013-01-22,2013-01-21,Local Company,2022-08-25
53120489L,SYNERGI.BZ,46900,70201,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,MANAGEMENT CONSULTANCY SERVICES (GENERAL),190 MIDDLE ROAD FORTUNE CENTRE #12-01 Singapore 188979 ,Live,2008-09-13,2008-07-10,Business,2022-08-25
53164996B,U BEST ENGINEERING & TRADING,46900,46599,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,WHOLESALE OF OTHER MACHINERY AND EQUIPMENT N.E.C.,147 BEDOK RESERVOIR ROAD EUNOS SPRING #12-1659 Singapore 470147 ,Live,2010-04-08,2010-04-07,Business,2022-08-25
201306016K,UMD GROUP PTE. LTD.,46900,82999,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,"OTHER BUSINESS SUPPORT SERVICE ACTIVITIES (EG JUNKETS, ADMINISTRATION OF LOYALTY PROGRAMMES)",176 JOO CHIAT ROAD  #02-02 Singapore 427447 ,Struck Off,2013-03-08,2013-03-07,Local Company,2022-08-25
201119764N,UNITED FOODS INTERNATIONAL (SINGAPORE) PTE. LTD.,46900,10799,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,MANUFACTURE OF OTHER FOOD PRODUCTS N.E.C. (EXCEPT FOOD CHEMICALS AND ADDITIVES),100 PECK SEAH STREET PS100 #07-18 Singapore 079333 ,Live Company,2011-08-20,2011-08-19,Local Company,2022-08-25
202038572W,UNIVERSAL WORKS PTE. LTD.,70201,na,MANAGEMENT CONSULTANCY SERVICES (GENERAL),na,71 UBI ROAD 1 OXLEY BIZHUB #08-34 Singapore 408732 ,Live Company,2020-11-28,2020-11-28,Local Company,2022-08-25
201730688Z,UNVOLATILE PTE. LTD.,70201,na,MANAGEMENT CONSULTANCY SERVICES (GENERAL),na,32 CARPENTER STREET  #03-01 Singapore 059911 ,Live Company,2017-10-26,2017-10-26,Local Company,2022-08-25
201210239N,TAO INVESTMENTS CORPORATE PTE. LTD.,70203,na,MANAGEMENT CONSULTANCY SERVICES FOR HOTELS,na,20 KRAMAT LANE UNITED HOUSE #02-05 Singapore 228773 ,Struck Off,2012-04-26,2012-04-25,Local Company,2022-08-25
201803574G,TASTE & PALATE CO. PTE. LTD.,56122,na,"FOOD COURTS, COFFEE SHOPS, AND EATING HOUSES (WITH MAINLY FOOD AND BEVERAGE INCOME)",na,9 HOLLAND AVENUE  #06-42 Singapore 272009 ,Live Company,2018-01-29,2018-01-29,Local Company,2022-08-25
201002231N,TECHCUBE8 PTE. LTD.,70209,72102,MANAGEMENT CONSULTANCY SERVICES N.E.C.,RESEARCH AND EXPERIMENTAL DEVELOPMENT ON ELECTRONICS,10 JALAN BESAR SIM LIM TOWER #15-06/07 Singapore 208787 ,Live Company,2010-01-29,2010-01-28,Local Company,2022-08-25
200814807D,TEE TREE INVESTMENTS PTE. LTD.,56111,64202,RESTAURANTS,OTHER HOLDING COMPANIES,311 OLD BIRDCAGE WALK  #02-08 Singapore 798484 ,Live Company,2008-09-13,2008-07-29,Local Company,2022-08-25
201816875H,TEKIYA PTE. LTD.,56111,46900,RESTAURANTS,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,1 TRAS LINK ORCHID HOTEL #01-18 Singapore 078867 ,Live Company,2018-05-17,2018-05-17,Local Company,2022-08-25
201704578D,THADDEUS INTELLIGENCE PTE. LTD.,62021,62011,INFORMATION TECHNOLOGY CONSULTANCY (EXCEPT CYBERSECURITY),DEVELOPMENT OF SOFTWARE AND APPLICATIONS (EXCEPT GAMES AND CYBERSECURITY),50 RAFFLES PLACE SINGAPORE LAND TOWER #37-00 Singapore 048623 ,Struck Off,2017-02-20,2017-02-20,Local Company,2022-08-25
53358421C,THE FIERCE-HEARTED,47742,na,"RETAIL SALE OF HANDICRAFTS, COLLECTIBLES AND GIFTS",na,588C ANG MO KIO STREET 52 PARK CENTRAL @ AMK #30-225 Singapore 563588 ,Cancelled (Non-Renewal),2017-03-14,2017-03-14,Business,2022-08-25
200206337C,THE GADGET LAND PTE. LTD.,82999,62090,"OTHER BUSINESS SUPPORT SERVICE ACTIVITIES (EG JUNKETS, ADMINISTRATION OF LOYALTY PROGRAMMES)",OTHER INFORMATION TECHNOLOGY AND COMPUTER SERVICE ACTIVITIES (EG DISASTER RECOVERY SERVICES),6 CHIAP GUAN AVENUE   Singapore 549869 ,Struck Off,2008-09-12,2002-07-23,Local Company,2022-08-25
201206547H,THE GOOD NATURED COMPANY PTE. LTD.,46900,na,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,na,15F LYNDHURST ROAD LYNDHURST GROVE  Singapore 438103 ,Live Company,2012-03-16,2012-03-15,Local Company,2022-08-25
201437469Z,THE HAVEN HOTELS AND RESORTS PTE. LTD.,70201,64202,MANAGEMENT CONSULTANCY SERVICES (GENERAL),OTHER HOLDING COMPANIES,24 PECK SEAH STREET NEHSONS BUILDING #02-03 Singapore 079314 ,Live Company,2014-12-24,2014-12-17,Local Company,2022-08-25
201729978Z,THE LEGEND CGC PTE. LTD.,56111,na,RESTAURANTS,na,20 NETHERAVON ROAD  #02- Singapore 508505 ,Live Company,2017-10-19,2017-10-19,Local Company,2022-08-25
198902514M,THE YARD LOUNGE PTE LTD,64202,68105,OTHER HOLDING COMPANIES,COLLECTIVE PORTFOLIO INVESTMENT FUNDS WITH RENTAL INCOME,9 GREENBANK PARK GREEN BANK PARK  Singapore 589370 ,Live Company,2008-09-10,1989-06-20,Local Company,2022-08-25
